mcid,movie_id,company_id,ctype,note
8154,146304,6292,production,
8155,7516,33,production,
8156,7516,694,production,
8157,7516,7295,production,
8158,7516,7419,production,
8159,7516,10163,production,
8160,41439,1632,production,
8161,41439,2061,production,
8162,41439,6680,production,
8163,2752,14,production,
8164,2752,33,production,
8165,2752,10163,production,
8166,9429,4,production,
8167,9429,2822,production,
8168,38117,5490,production,
8169,38117,54502,production,
8170,38117,60600,production,
8171,9792,43,production,
8172,9792,444,production,
8173,9792,445,production,
8174,9792,1600,production,
8175,13778,4,production,
8176,13778,2608,production,
8177,228203,2,production,
8178,228203,22881,production,
8179,41382,2780,production,
8180,41382,49966,production,
8181,13960,6194,production,
8182,114150,12365,production,
8183,26602,2184,production,
8184,26602,6194,production,
8185,10223,4,production,
8186,16028,7405,production,
8187,16028,10146,production,
8188,16028,10565,production,
8189,16028,14718,production,
8190,15639,18575,production,
8191,16112,5,production,
8192,16112,5061,production,
8193,16112,6255,production,
8194,26390,925,production,
8195,26390,2435,production,
8196,26390,4654,production,
8197,26390,8151,production,
8198,26390,10254,production,
8199,27759,4928,production,
8200,27759,10253,production,
8201,109428,559,production,
8202,109428,768,production,
8203,109428,7263,production,
8204,23049,43,production,
8205,23049,2157,production,
8206,9310,33,production,
8207,9310,1473,production,
8208,11411,4110,production,
8209,11411,6194,production,
8210,11411,6231,production,
8211,11411,13549,production,
8212,16988,746,production,
8213,16988,806,production,
8214,16988,860,production,
8215,16988,2743,production,
8216,16988,8582,production,
8217,16988,11550,production,
8218,16988,11551,production,
8219,16988,11569,production,
8220,16988,11576,production,
8221,16988,11635,production,
8222,16988,12116,production,
8223,16988,20170,production,
8224,16988,22208,production,
8225,16988,23486,production,
8226,16988,54606,production,
8227,16988,57498,production,
8228,7304,1507,production,
8229,7304,2227,production,
8230,7304,5357,production,
8231,7304,18621,production,
8232,24747,3915,production,
8233,24747,11144,production,
8234,24747,11145,production,
8235,24747,11146,production,
8236,58048,20076,production,
8237,58048,94714,production,
8238,1491,1187,production,
8239,1491,11345,production,
8240,1491,12260,production,
8241,1491,25432,production,
8242,1491,52740,production,
8243,1491,76043,production,
8244,2989,8310,production,
8245,10629,130,production,
8246,10629,9195,production,
8247,255343,7561,production,
8248,255343,8676,production,
8249,255343,10497,production,
8250,255343,19037,production,
8251,255343,20339,production,
8252,255343,63810,production,
8253,4723,33,production,
8254,4723,769,production,
8255,4723,810,production,
8256,4723,856,production,
8257,4723,1700,production,
8258,4723,8848,production,
8259,4723,12622,production,
8260,4723,54030,production,
8261,4723,87783,production,
8262,10800,2613,production,
8263,25763,306,production,
8264,79694,694,production,
8265,79694,1786,production,
8266,79694,6194,production,
8267,79694,37826,production,
8268,4032,5,production,
8269,4032,23,production,
8270,18615,1246,production,
8271,18615,6455,production,
8272,18615,36650,production,
8273,10673,306,production,
8274,4584,441,production,
8275,4584,932,production,
8276,2977,1267,production,
8277,2977,2689,production,
8278,2977,6342,production,
8279,10760,10210,production,
8280,10760,46051,production,
8281,10760,46052,production,
8282,11093,27,production,
8283,11093,18619,production,
8284,11093,59951,production,
8285,207,9195,production,
8286,207,10282,production,
8287,8467,12,production,
8288,8467,11061,production,
8289,639,97,production,
8290,639,365,production,
8291,24226,306,production,
8292,9285,27,production,
8293,9285,2364,production,
8294,14709,4,production,
8295,14709,746,production,
8296,74643,591,production,
8297,74643,1992,production,
8298,74643,2577,production,
8299,74643,8676,production,
8300,74643,12391,production,
8301,74643,50630,production,
8302,74643,71510,production,
8303,13788,134,production,
8304,13788,423,production,
8305,13788,2481,production,
8306,13788,7295,production,
8307,83666,258,production,
8308,83666,9350,production,
8309,83666,10146,production,
8310,83666,23449,production,
8311,83666,25626,production,
8312,10781,12,production,
8313,10781,1633,production,
8314,10781,2481,production,
8315,10781,23653,production,
8316,10781,56620,production,
8317,318850,10146,production,
8318,13908,5,production,
8319,13908,497,production,
