movie_id,title,release
1824,50 First Dates,2004
2976,Hairspray,2007
11026,Exorcist: The Beginning,2004
332,Inspector Gadget,1999
75656,Now You See Me,2013
38365,Grown Ups,2010
594,The Terminal,2004
15189,Hotel for Dogs,2009
11678,Vertical Limit,2000
6538,Charlie Wilson's War,2007
10555,Shark Tale,2004
1125,Dreamgirls,2006
4551,Be Cool,2005
612,Munich,2005
9567,Tears of the Sun,2003
37821,Killers,2010
203801,The Man from U.N.C.L.E.,2015
2539,Spanglish,2004
9297,Monster House,2006
3172,Bandits,2001
6520,First Knight,1995
1439,Anna and the King,1999
37958,Immortals,2011
2026,Hostage,2005
7450,Titan A.E.,2000
11375,Hollywood Homicide,2003
9425,Soldier,1998
25769,Carriers,2009
23685,Monkeybone,2001
11866,Flight of the Phoenix,2004
9741,Unbreakable,2000
211672,Minions,2015
23629,Sucker Punch,2011
8688,Snake Eyes,1998
